comp110329_c0_seq1|m.6947	R_sang_27212
comp123200_c0_seq3|m.11959	R_sang_2178
comp143987_c8_seq5|m.77709	R_sang_27093
comp124982_c0_seq1|m.13152	R_sang_12043
comp138454_c0_seq1|m.40243	R_sang_9164
comp138995_c1_seq1|m.42907	R_sang_11807
comp144263_c1_seq3|m.80869	R_sang_1895
comp111804_c0_seq1|m.7350	R_sang_28228
comp143028_c1_seq11|m.69022	R_sang_9314
comp146944_c0_seq8|m.110018	R_sang_29361
comp145932_c0_seq6|m.98038	R_sang_11574
comp135563_c0_seq3|m.29741	R_sang_28812
comp115067_c0_seq2|m.8300	R_sang_6827
comp72275_c0_seq1|m.2471	R_sang_4590
comp110347_c0_seq3|m.6952	R_sang_16596
comp133688_c1_seq3|m.24777	R_sang_19164
comp124730_c0_seq2|m.12959	R_sang_26851
comp143202_c0_seq5|m.70309	R_sang_19569
comp30589_c0_seq1|m.673	R_sang_23386
comp664132_c0_seq1|m.115374	R_sang_16197
comp147000_c0_seq3|m.110541	R_sang_16485
comp146485_c1_seq2|m.104494	R_sang_22824
comp549694_c0_seq1|m.114999	R_sang_25359
comp116417_c0_seq1|m.8732	R_sang_1616
comp132481_c0_seq1|m.22423	R_sang_32275
comp140762_c1_seq7|m.52922	R_sang_28362
comp145135_c0_seq27|m.89337	R_sang_7537
comp132550_c0_seq7|m.22572	R_sang_25431
comp139344_c0_seq8|m.44535	R_sang_785
comp146955_c0_seq7|m.110068	R_sang_33227
comp146491_c0_seq1|m.104532	R_sang_26733
comp144710_c1_seq9|m.85121	R_sang_3683
comp126261_c0_seq1|m.14319	R_sang_11163
comp140311_c4_seq10|m.50178	R_sang_29684
comp138913_c1_seq3|m.42368	R_sang_6552
comp128371_c0_seq1|m.16465	R_sang_32741
comp106826_c0_seq1|m.6336	R_sang_6439
comp144883_c1_seq4|m.86852	R_sang_14203
comp124633_c0_seq1|m.12879	R_sang_3220
comp113858_c0_seq1|m.7917	R_sang_17014
comp145026_c0_seq5|m.88260	R_sang_19524
comp142470_c0_seq9|m.64544	R_sang_26132
comp241395_c0_seq1|m.113240	R_sang_21468
comp144683_c0_seq5|m.84884	R_sang_17372
comp124477_c0_seq1|m.12725	R_sang_20412
comp144536_c0_seq14|m.83532	R_sang_34
comp142308_c0_seq9|m.63419	R_sang_23648
comp132494_c0_seq2|m.22449	R_sang_8419
comp146429_c0_seq2|m.104024	R_sang_2253
comp139945_c1_seq5|m.47911	R_sang_2752
comp145421_c0_seq2|m.92629	R_sang_8065
comp141891_c0_seq1|m.60914	R_sang_2045
comp135143_c0_seq12|m.28584	R_sang_25897
comp143280_c0_seq2|m.70917	R_sang_7429
comp140305_c1_seq21|m.50091	R_sang_25985
comp130535_c0_seq1|m.19061	R_sang_6351
comp143217_c0_seq1|m.70441	R_sang_14258
comp140193_c0_seq7|m.49399	R_sang_25420
comp137554_c1_seq5|m.36650	R_sang_32799
comp145078_c0_seq2|m.88672	R_sang_10293
comp131613_c0_seq4|m.20760	R_sang_25122
comp123354_c0_seq2|m.12027	R_sang_15995
comp140756_c1_seq2|m.52887	R_sang_14750
comp137076_c0_seq3|m.34929	R_sang_28484
comp483963_c0_seq1|m.114866	R_sang_16028
comp143773_c0_seq2|m.75624	R_sang_22682
comp144724_c0_seq1|m.85269	R_sang_24035
comp144851_c0_seq1|m.86565	R_sang_25754
comp142460_c0_seq19|m.64447	R_sang_23962
comp131859_c0_seq5|m.21205	R_sang_8701
comp141906_c0_seq17|m.61055	R_sang_18693
comp110095_c0_seq2|m.6888	R_sang_2062
comp145927_c0_seq1|m.97981	R_sang_14215
comp130542_c0_seq2|m.19072	R_sang_3191
comp134551_c0_seq2|m.27036	R_sang_27058
comp131689_c0_seq7|m.20886	R_sang_1762
comp143471_c0_seq2|m.72622	R_sang_24153
comp145394_c1_seq2|m.92195	R_sang_1122
comp145996_c0_seq3|m.98612	R_sang_19549
comp135634_c0_seq1|m.29880	R_sang_25181
comp130220_c0_seq1|m.18571	R_sang_15461
comp129397_c0_seq1|m.17544	R_sang_2002
comp576081_c0_seq1|m.115216	R_sang_25020
comp142956_c0_seq3|m.68173	R_sang_8111
comp142028_c0_seq3|m.61675	R_sang_25547
comp145013_c4_seq8|m.88080	R_sang_31300
comp141123_c0_seq2|m.54953	R_sang_24623
comp1060579_c0_seq1|m.115931	R_sang_33392
comp131702_c0_seq3|m.20910	R_sang_23282
comp144003_c0_seq1|m.77952	R_sang_10745
comp26457_c0_seq1|m.294	R_sang_27495
comp138592_c0_seq2|m.40891	R_sang_2726
comp145423_c1_seq15|m.92654	R_sang_27397
comp130597_c0_seq2|m.19136	R_sang_3666
comp138198_c0_seq2|m.39146	R_sang_11412
comp142097_c0_seq2|m.62023	R_sang_18296
comp144186_c1_seq10|m.80295	R_sang_16884
comp145029_c0_seq2|m.88298	R_sang_18812
comp140259_c1_seq1|m.49856	R_sang_29751
comp144009_c3_seq15|m.78047	R_sang_28222
comp129689_c0_seq2|m.17875	R_sang_15139
comp608085_c0_seq1|m.115312	R_sang_12475
comp135191_c0_seq5|m.28711	R_sang_7856
comp129358_c0_seq1|m.17523	R_sang_30812
comp139856_c0_seq2|m.47469	R_sang_21193
comp144759_c0_seq2|m.85620	R_sang_18697
comp110516_c0_seq2|m.6998	R_sang_32385
comp129332_c0_seq1|m.17473	R_sang_17507
comp141583_c0_seq1|m.58377	R_sang_3409
comp129169_c0_seq4|m.17299	R_sang_6327
comp127256_c0_seq2|m.15349	R_sang_4077
comp133225_c0_seq3|m.23743	R_sang_23709
comp145895_c1_seq4|m.97713	R_sang_11227
comp142772_c0_seq10|m.66965	R_sang_8267
comp145763_c1_seq5|m.96201	R_sang_18173
comp142076_c2_seq1|m.61895	R_sang_842
comp143180_c0_seq4|m.70131	R_sang_24782
comp144654_c1_seq1|m.84696	R_sang_27599
comp143049_c0_seq5|m.69177	R_sang_20539
comp130023_c0_seq2|m.18336	R_sang_12987
comp141916_c0_seq1|m.61127	R_sang_7953
comp138601_c1_seq6|m.40934	R_sang_25915
comp144181_c0_seq14|m.80218	R_sang_7384
comp116754_c0_seq1|m.8857	R_sang_14128
comp143861_c0_seq3|m.76401	R_sang_9701
comp127216_c0_seq2|m.15277	R_sang_1731
comp144739_c0_seq7|m.85500	R_sang_22700
comp132962_c1_seq1|m.23212	R_sang_24202
comp84925_c0_seq1|m.3522	R_sang_2839
